%t1;t2;n1;n2;f1;f2;s1;s2;tf1;upper;lower;tf2;upper;lower;nf1;upper;lower;nf2;upper;lower;f f1;upper;lower;ff2;upper;lower;sf1;upper;lower;sf2;upper;lower;r chi;t single;u;l;n1;nu;nl;fs;fu;fl;ss;su;sl;chi s
250;100;1.00E+15;1.00E+14;2;7;0.7;0.7;9.56E+01;153;19;69;90;20;2.26E+11;1.30E+11;1.70E+11;3.43E+10;2.42E+10;1.72E+10;2.53E+00;9.00E-01;9.00E-01;7.90E+00;0.00E+00;3.50E+00;5.90E-01;1.56E-01;1.56E-01;1.10E+00;1.56E-01;2.40E-01;1.55E-05;9.10E+01;1.58E+02;1.70E+01;4.60E+11;2.70E+11;3.90E+11;2.99E+00;6.80E-01;1.30E+00;4.17E-01;3.00E-01;4.00E-01;1.50E-05
250;100;1.00E+15;1.00E+15;2;7;0.7;0.7;9.68E+01;146;26;80;130;30;8.00E+11;2.90E+11;7.10E+11;1.40E+12;5.60E+11;1.24E+12;2.00E+00;1.23E+00;6.80E-01;7.50E+00;2.90E-01;3.30E+00;7.50E-01;1.00E-01;2.40E-01;1.20E+00;6.00E-02;3.40E-01;1.90E-03;8.40E+01;1.57E+02;1.80E+01;1.47E+12;5.11E+11;1.25E+12;3.03E+00;6.70E-01;1.30E+00;1.30E+00;0.00E+00;5.90E+00;2.40E-03
250;100;1.00E+15;1.00E+16;2;7;0.7;0.7;81;200;12;116;117;42;1.18E+13;6.20E+12;6.10E+12;2.47E+13;1.40E+13;1.40E+13;2.08E+00;1.29E+00;6.60E-01;6.50E+00;2.50E-01;2.80E+00;1.29E+00;0.00E+00;6.00E-01;6.70E-01;1.20E-01;1.90E-01;5.20E-01;8.70E+01;2.28E+02;6.60E+01;2.20E+13;7.00E+12;1.10E+13;3.11E+00;5.60E-01;1.55E+00;1.30E+00;0.00E+00;6.70E-01;6.30E-01
250;100;1.00E+15;1.00E+17;2;7;0.7;0.7;58;18;117;102;54;52;1.20E+10;8.80E+11;2.44E+09;9.90E+14;2.40E+16;9.59E+14;1.81E+00;1.00E+00;7.90E-01;7.99E+00;7.00E-03;2.20E+00;3.00E-01;5.50E-01;4.00E-03;6.10E-01;7.00E-02;2.40E-01;1.43E+02;1.07E+02;4.90E+01;5.70E+01;6.16E+14;3.20E+16;5.60E+14;7.80E+00;1.50E-01;9.00E-01;9.70E-01;3.20E-01;1.11E-01;1.49E+02
