%T1 gen;T2;N1;N2;FWHM1;FWHM2;s1;s2;T1 fitted;upper;lower;T2 fitted;upper;lower;N1 fitted;upper;lower;N2 fitted;upper;lower;FWHM1;upper;lower;FWHM2;upper;lower;s1;upper;lower;s2;upper;lower;chi;Tsingle;upper;lower;Nsingle;upper;lower;FWHMsingle;upper;lower;ssingle;upper;lower;chisingle
250;100;1.00E+14;1.00E+14;2;7;0.7;0.7;93;149;20;83;113;33;1.21E+11;7.34E+10;8.51E+10;1.68E+11;1.10E+11;1.24E+11;2.20E+00;1.12E+00;6.40E-01;7.73E+00;2.67E-01;2.72E+00;8.50E-01;6.00E-02;3.10E-01;4.70E-01;2.00E-01;7.00E-02;1.52E-05;8.50E+01;1.60E+02;1.70E+01;3.43E+11;1.90E+11;2.78E+11;2.97E+00;7.00E-01;1.27E+00;5.00E-01;2.40E-01;6.60E-01;1.81E-05
250;100;1.00E+14;1.00E+15;2;7;0.7;0.7;85;110;35;93;146;22;4.53E+11;2.70E+11;3.70E+11;2.50E+12;1.01E+12;2.15E+12;1.17E+00;1.25E+00;1.70E-01;3.80E+00;4.50E-01;1.93E+00;7.40E-01;1.10E-01;2.10E-01;5.90E-01;1.50E-01;1.20E-01;0.0021;9.20E+01;1.55E+02;1.80E+01;2.26E+12;8.80E+11;1.90E+12;2.96E+00;7.10E-01;1.25E+00;7.70E-01;7.00E-02;2.70E-01;0.00241
250;100;1.00E+14;1.00E+16;2;7;0.7;0.7;77;168;15;99;112;34;1.60E+13;6.90E+12;9.50E+12;2.00E+13;8.06E+12;1.50E+13;1.97E+00;1.30E+00;5.20E-01;6.74E+00;2.50E-01;2.64E+00;8.25E-01;8.00E-02;2.70E-01;7.40E-01;1.00E-01;2.10E-01;4.98E-01;7.70E+01;2.38E+02;5.00E+01;4.60E+13;1.60E+13;2.30E+13;2.90E+00;6.60E-01;1.30E+00;5.60E-01;8.00E-02;1.80E-01;6.13E-01
250;100;1.00E+14;1.00E+17;2;7;0.7;0.7;55;47;78;106;51;56;1.66E+13;0.00E+00;1.66E+13;5.01E+14;9.90E+16;3.97E+14;2.50E+00;2.20E+00;1.25E+00;8.00E+00;2.30E-09;2.12E+00;7.50E-01;7.00E-03;3.90E-01;1.28E+00;0.00E+00;9.70E-01;1.36E+02;1.08E+02;7.00E+01;5.00E+01;5.73E+14;2.44E+16;5.31E+14;7.89E+00;1.10E-01;7.60E-01;1.08E+00;0.00E+00;7.70E-01;1.38E+02
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
