%T1 gen;T2;N1;N2;FWHM1;FWHM2;s1;s2;T1 fitted;upper;lower;T2 fitted;upper;lower;N1 fitted;upper;lower;N2 fitted;upper;lower;FWHM1;upper;lower;FWHM2;upper;lower;s1;upper;lower;s2;upper;lower;chi;Tsingle;upper;lower;Nsingle;upper;lower;FWHMsingle;upper;lower;ssingle;upper;lower;chisingle
250.00;100.00;1.00E+17;5.00E+16;2.00;7.00;0.70;0.70;255.00;35.00;62.00;271.00;5.00;53.00;8.64E+16;11500000000000000.00;48700000000000000.00;5.31E+14;51226000000000000.00;233000000000000.00;2.98;1.66;0.98;5.64;2.18;1.89;0.88;0.42;0.19;0.37;0.19;0.06;117.90;244.00;46.00;44.00;6.18E+16;24600000000000000.00;51800000000000000.00;3.29;3.35;0.23;0.89;0.08;0.06;5850.40
250.00;100.00;1.00E+17;1.00E+17;2.00;7.00;0.70;0.70;191.00;4.00;4.00;90.77;3.00;1.00;6.10E+16;3200000000000000.00;17800000000000000.00;2.02E+16;63600000000000000.00;14600000000000000.00;2.00;1.07;0.00;8.05;0.26;0.47;1.03;0.02;0.09;0.81;0.01;0.08;171.01;192.00;63.00;44.00;6.67E+16;12800000000000000.00;52800000000000000.00;6.49;0.35;3.23;0.84;0.12;0.38;8830.50
